"draw","C_sum","C_expected_sum","E_sum"
2144,43107,43159.586287901,16970.1758380917
2145,32042,32142.189228085,12821.7331271486
2147,45995,46013.7553499963,13579.7766938462
2150,44417,44284.1752474284,14639.5816088701
2151,37101,37303.7580569468,16034.9613919308
2152,48446,48599.9932851672,17830.3538904118
2155,56755,56689.9019059072,21098.4436583314
2156,55358,55298.8785585175,16394.459546989
2158,53066,52970.922732172,18298.2189513367
2159,38990,39224.1413473564,15290.2063529172
2160,47037,47093.9685190479,14409.5261260552
2161,48534,48516.79221286,16716.9786787158
2164,41116,41080.7827229258,13561.3371938061
2166,47642,47745.691679983,14052.9778181542
2173,47246,47203.1521664102,17799.384508437
2174,34796,34654.3453728722,13342.3869063865
2175,41294,41235.9461192772,15551.7021217485
2176,45621,45564.328570177,14897.7748852032
2177,39484,39481.1013022293,14646.3806622885
2182,47683,47837.9998648077,14670.2182544983
2183,35374,35478.5598492329,14331.1793714328
2184,62278,62268.4560148017,17591.684725063
2185,41934,41866.1670824985,14211.9931297097
2186,40975,41121.2147005769,15838.4012348553
2188,33027,33127.258601609,12779.1671298949
2190,38691,38568.4540520206,13564.690452192
2192,56334,56621.7267243215,15655.3916417405
2196,44918,45240.6472595459,14215.1634931252
2198,36210,35873.9781049068,10798.8462096059
2199,45310,45139.3482718803,14809.925017754
2200,37967,38009.4722735905,12973.2867758143
2201,47810,47890.8246437039,14144.1383577972
2202,41618,41357.1618880722,14236.5619874905
2205,43455,43628.1398792505,15772.8593825394
2206,36947,37095.8735754481,12208.7714530595
2209,36058,36347.1842581968,11246.4986119857
2211,40756,40237.7738005394,13928.122043336
2212,35020,35022.1396087649,13604.0214563714
2214,41962,41713.0909866224,12764.174495324
2216,35756,35499.6325591008,11442.1620936387
2218,39288,39073.5164472091,12623.8343980165
2220,58216,57949.8931847925,17000.9095708618
2221,40412,40501.1829664227,12760.9989510546
2228,42805,42651.8894299941,15858.5241082624
2230,37747,37946.5237506111,14662.3300387024
2231,49703,49609.7873000602,13151.435508442
2232,53376,53098.0557394278,17621.5814641589
2234,37370,37412.2965086825,14538.1797997955
2238,38723,38910.4526752375,15460.4436946056
2244,35190,35143.3443978991,13813.5331170738
2246,40407,40398.2551730256,14536.9178187403
2247,47788,47705.9176837328,15420.325542906
2249,30960,30843.2369052657,13359.2989417198
2251,46281,46158.4440855822,14872.5299549469
2256,42598,42759.7355960882,15209.425232299
2259,49955,49856.2963419871,16118.3418388514
2263,52913,52761.887755708,16730.5669941384
2265,43128,43196.5708111753,13921.3858556997
2266,34870,35111.3701021866,14401.9689058077
2267,33333,33565.5648612925,14688.9107497609
2268,60605,60197.6428150517,15221.5833246712
2273,34081,33981.2764211251,15055.30500138
2275,43055,42833.2831325836,15414.3210991957
2277,37872,38122.2189593609,12932.8985086642
