"period","date_start","date_end","n_days","omega_E_median","omega_E_lo95","omega_E_hi95","omega_C_median","omega_C_lo95","omega_C_hi95"
90,"2025-02-28","2025-02-28",1,-1.92916695186777,-3.82180732525502,-0.342606479021032,-0.0513297006028489,-1.22552759389985,0.797351712692427
91,"2025-03-01","2025-03-01",1,-1.42760396940782,-3.33615518757113,0.159760471277052,-0.245105147214625,-1.44682114031942,0.370473347197749
92,"2025-03-02","2025-03-02",1,-1.72905027725858,-3.92701483666539,0.342261990526276,-0.0410042012681929,-1.22824918097973,0.832431560015923
93,"2025-03-03","2025-03-03",1,-2.02118757186446,-4.29007808994064,0.0527999761098691,-0.0476545524240863,-1.09838088287089,0.814599115214937
94,"2025-03-04","2025-03-04",1,-2.33750928976757,-4.49455432692531,-0.551670329627104,-0.017831122439459,-1.0538347946061,0.874278238327089
95,"2025-03-05","2025-03-05",1,-2.33633845108486,-4.36829334835617,-0.581266170947489,-0.0155122805623023,-1.02713115932124,0.885587903882471
96,"2025-03-06","2025-03-06",1,-1.98558240990706,-4.02974624049683,-0.306401480404863,-0.0114333706975504,-0.976039961290751,0.913111807965518
97,"2025-03-07","2025-03-07",1,-2.03758570093704,-4.2268590711748,0.00583029661057042,-0.00659757872618827,-1.01371942817067,0.975672364259137
98,"2025-03-08","2025-03-08",1,-2.07882605588379,-4.2253006644315,-0.252129202608879,-0.00345778482055991,-1.00620116420088,0.953635012399296
99,"2025-03-09","2025-03-09",1,-1.73997716062543,-3.97261179820122,0.338350590021038,-0.00310552871472187,-0.974563003366457,0.936552834240947
100,"2025-03-10","2025-03-10",1,-1.43265006675413,-3.5429597501106,0.571516947538416,-0.00243646833643486,-0.968432447174739,0.966473056659885
101,"2025-03-11","2025-03-11",1,-1.09313740500906,-2.88371208394471,0.420702949153259,-0.00284793941890244,-0.965971458640609,0.97625682627491
102,"2025-03-12","2025-03-12",1,-1.31224233125615,-3.06819076643884,0.25827466879312,-0.000995580637148219,-0.984773098397815,0.980581128697128
103,"2025-03-13","2025-03-13",1,-1.47784740205163,-3.46681095499795,0.438208291015279,0.00101360337162404,-0.948682532278796,0.964464174045671
104,"2025-03-14","2025-03-14",1,-1.62216565168959,-3.51924215009427,0.0117321994018829,0.00164132422737937,-0.985659246554919,1.00506712819558
105,"2025-03-15","2025-03-15",1,-1.93189568286971,-3.95508376565068,-0.230134762055368,0.0021071694251251,-0.958685320607981,0.972794198581347
106,"2025-03-16","2025-03-16",1,-1.74359977494823,-3.96071156399824,0.298506744355684,-0.000981442898204081,-0.963893139936445,0.985661156727394
107,"2025-03-17","2025-03-17",1,-1.59661068582772,-3.73779031671746,0.471709451165945,0.00125052360102707,-0.94884890637216,0.95416411174864
108,"2025-03-18","2025-03-18",1,-1.43901196724946,-3.26808837354899,0.105363967618688,0.00192260727181259,-0.920846967574824,0.992162805142259
109,"2025-03-19","2025-03-19",1,-2.14837083415487,-3.93856180268865,-0.618519649615718,0.0026513283291049,-0.907841732534171,1.03783551854682
110,"2025-03-20","2025-03-20",1,-2.07259598647841,-3.87166347690921,-0.468982447321927,0.00476780093354485,-0.906969912950529,0.981298167562669
111,"2025-03-21","2025-03-21",1,-1.60008291919093,-3.30920715045533,-0.0958136722557347,0.00697276152509378,-0.904009477250071,1.01199172804025
112,"2025-03-22","2025-03-22",1,-0.482748725776002,-1.81286177079431,0.710130478258433,0.0101532385178268,-0.884762724863183,1.0215999377302
113,"2025-03-23","2025-03-23",1,-0.965155037410412,-2.57902948918087,0.454478395522112,0.02499660021254,-0.820018192989131,1.07190829225735
114,"2025-03-24","2025-03-24",1,-0.302338565915461,-2.10457546838181,1.41573428814347,0.0261706984312958,-0.847457438325622,1.08169338205769
115,"2025-03-25","2025-03-25",1,0.356662755861552,-1.05976220863316,1.5815761563296,0.154037286910282,-0.411519942315362,1.16930441152662
116,"2025-03-26","2025-03-26",1,-0.615462160655185,-2.5224022690666,1.19497961082483,0.0271613425479882,-0.787397758475686,1.09322366537435
117,"2025-03-27","2025-03-27",1,-1.57337578511655,-3.52026967998188,0.08642994218912,0.0252836471639061,-0.834196559094509,1.06979481596301
118,"2025-03-28","2025-03-28",1,-1.84192936323702,-3.88617303390105,-0.145162994084022,0.0109901798806211,-0.857781277018955,1.02613152090133
119,"2025-03-29","2025-03-29",1,-1.62519393966943,-3.89350960057155,0.508378075165853,0.0155388550638508,-0.87334647952993,0.986890500990276
120,"2025-03-30","2025-03-30",1,-1.4130682038554,-3.73363903023891,0.78306131627035,0.00412192793321351,-0.911531663983096,0.984187164895172
121,"2025-03-31","2025-03-31",1,-1.24552739680844,-3.42726411101214,0.771517894735167,0.00684822138074236,-0.89744790415804,0.992551041190138
122,"2025-04-01","2025-04-01",1,-1.07522775972499,-2.78600947957518,0.426004848590127,0.00706082882322681,-0.915419345063156,0.97770530462828
123,"2025-04-02","2025-04-02",1,-0.683630812428998,-2.19789919122254,0.678034738151257,0.013633591829442,-0.868667333451508,0.965167582750592
124,"2025-04-03","2025-04-03",1,0.392150685909666,-0.89127259360401,1.57499500761992,0.00931491060146345,-0.881751818211983,1.00007786625939
125,"2025-04-04","2025-04-04",1,1.07931031449124,-0.0587222612147294,2.08604120073257,0.0619385019906126,-0.538366819504349,0.903350164831501
126,"2025-04-05","2025-04-05",1,1.34418852529273,0.124580695471786,2.46606018501094,-0.0328645773963291,-0.819860162978944,0.713793383904147
127,"2025-04-06","2025-04-06",1,0.80984555404863,-1.14615558072341,2.74487305275205,0.00544561018550339,-0.851842946365884,0.942327139533553
128,"2025-04-07","2025-04-07",1,0.269155898260373,-1.9966806445288,2.5114975527196,-0.00160993889663441,-0.926897107901481,0.940134781824295
129,"2025-04-08","2025-04-08",1,-0.242914001875164,-2.48243207304044,2.02876555973264,0.000914344581380486,-0.907223138939916,0.959669244689471
130,"2025-04-09","2025-04-09",1,-0.737525482197262,-2.94168273123078,1.37425757288827,-0.000169931505628223,-0.975716210386429,0.932782640053328
131,"2025-04-10","2025-04-10",1,-1.23679100703345,-3.04469889670557,0.310788080167456,0.00216166819451727,-0.973360994340447,0.942270567365672
132,"2025-04-11","2025-04-11",1,-0.879260131826861,-2.61154889369168,0.589118624554011,-0.00216915110763178,-0.978264510188003,0.928558740163399
133,"2025-04-12","2025-04-12",1,-0.828644857978155,-2.9217279915645,1.2088992947466,-0.00370508798698886,-0.939846823759765,0.907850309110883
134,"2025-04-13","2025-04-13",1,-0.776578349531146,-3.06769107392837,1.43708183586245,-0.00964878656400179,-0.996700535833132,0.866153741849179
135,"2025-04-14","2025-04-14",1,-0.72087121013147,-2.85473371873786,1.29416790985392,-0.00909249123885661,-1.01793044233758,0.858375601831633
136,"2025-04-15","2025-04-15",1,-0.68007565214737,-2.38610295533172,0.814829108025622,-0.0491637458174197,-1.12569965271701,0.744685365557992
137,"2025-04-16","2025-04-16",1,-0.628467057141688,-2.73108698433359,1.44851579964588,-0.00804845364975243,-0.977836299518896,0.900429784071314
138,"2025-04-17","2025-04-17",1,-0.578716119262845,-2.78496152332353,1.64443626745094,-0.0083758213653811,-0.999431995041595,0.912109163382503
139,"2025-04-18","2025-04-18",1,-0.542223153620098,-2.59887868447434,1.43958797305788,-0.00872747394653416,-0.970658411413086,0.869922608173321
140,"2025-04-19","2025-04-19",1,-0.500708105020734,-2.15698444048038,0.968706965111193,-0.0350208918928326,-1.02180403766535,0.755573081960736
141,"2025-04-20","2025-04-20",1,-0.205491351090171,-2.24022063519858,1.8048835833526,0.00239319778638143,-0.918549709609351,0.918856082355083
142,"2025-04-21","2025-04-21",1,0.102482320966,-2.01989686378177,2.24894844750013,0.00638070998862481,-0.886533926076841,0.975206888388318
143,"2025-04-22","2025-04-22",1,0.440897423837774,-1.47867952793192,2.38146889428895,0.0234307632596291,-0.823539396443526,1.01891091778728
144,"2025-04-23","2025-04-23",1,0.793172694614756,-0.453029850829326,1.94469399835415,0.075795486590132,-0.582391623710694,1.11669872265355
145,"2025-04-24","2025-04-24",1,0.0669624523674308,-1.11681439865326,1.16016114586314,0.100320329760328,-0.535645456767191,1.16318962452922
146,"2025-04-25","2025-04-25",1,0.479197117313155,-0.813928321603309,1.68010655224662,0.0194716165411872,-0.858380104647376,1.08690075492575
147,"2025-04-26","2025-04-26",1,0.317155122427432,-1.57811931092173,2.24010166244038,0.0209063034642858,-0.890294723198712,1.07160823141952
148,"2025-04-27","2025-04-27",1,0.175652484402722,-1.92187164572443,2.24239388329287,0.0144152561904707,-0.877958764826674,1.03846794517569
149,"2025-04-28","2025-04-28",1,0.0466419041366163,-1.86204706983717,1.96037677838467,0.00992106506357697,-0.907819036605797,1.0308091584119
150,"2025-04-29","2025-04-29",1,-0.0747615249024462,-1.33377348907599,1.08067302437293,0.00746362898950316,-0.868935796859674,0.958345830338408
151,"2025-04-30","2025-04-30",1,0.871473548892353,-0.350831520515134,2.01198935139674,0.0121721329968301,-0.753293166980709,0.924187667923865
152,"2025-05-01","2025-05-01",1,2.53693890333054,1.44659319664823,3.49567761354868,0.0107212688216901,-0.637506518345048,0.799654182662859
153,"2025-05-02","2025-05-02",1,0.195435866566031,-0.992663158736261,1.30916924791661,0.0511434223401404,-0.618273016662457,0.954866773493809
