"draw","C_sum","C_expected_sum","E_sum"
871,19680,19720.3850833473,23133.9709236727
885,21732,21713.1319721064,25415.4537003559
891,21502,21352.3419089856,24070.1972297057
896,22158,21889.8218412491,24249.3799406623
900,20625,20458.1694222857,24347.1033573936
904,21830,21911.2519864912,26017.602023297
907,19631,19733.5823592724,23368.2014924105
911,22027,22100.5495330137,24943.0595752641
915,20649,20474.4232048375,23268.6564041745
918,20572,20629.5514951,22843.8232095497
921,21926,22043.2944662874,26094.4086076042
924,18718,18764.4777231657,22259.4239828315
929,19454,19511.3053364626,23333.162032396
938,19658,19678.1523551696,23072.886462874
946,20586,20543.6935453612,25086.0136146665
948,19406,19396.3455172331,23790.3972734463
949,21137,21089.4432423322,24405.4300162407
950,20255,20382.8877961511,23947.5828007346
953,21208,21101.1541671573,26084.604981795
955,22379,22512.0960734555,24741.8896461987
959,21579,21433.6254703249,24791.2516560708
969,20240,20213.5537902012,22827.3250145987
973,19260,19377.7789387431,22790.8217213249
974,19764,19729.963453041,23898.0598034183
977,21055,21272.2221384789,25162.3590440342
985,20145,20266.4802901574,24510.3533649134
991,19914,19983.6994725811,23475.7411653615
1001,18346,18333.4072546324,21861.5220849287
1004,20757,20701.4953893587,23579.910077081
1012,19242,19199.4156569035,21915.0540963613
1018,18788,19002.9152980113,22328.6294638479
1020,20103,20049.1944007646,23711.6256069208
1023,20233,20231.8897579782,24245.6380811984
1025,19280,19452.6061416352,23028.8498358761
1026,19178,19045.7424042411,23105.424529565
1030,21422,21260.1512198509,24375.8493831481
1034,22555,22614.1769719539,24138.8965211335
1036,20465,20432.0735930239,24641.6256438183
1044,19721,19580.8334058495,23266.3652979716
1047,19847,19933.6775815318,24692.7810102181
1050,20107,20165.543577575,23319.3586212685
1052,19375,19362.7528257803,23520.1029024312
1054,21375,21424.880136703,25223.4985000526
1055,20229,20127.6481894555,24257.5685399184
1056,18688,18483.9202951226,21974.9698656384
1057,21447,21396.8801543918,25143.9600526775
1060,20985,21019.9979813775,25195.788672756
1065,20648,20580.1469918001,24749.2995644431
1071,19185,19261.9727809001,22451.6960943389
1075,21149,21112.8020779236,25319.8833189296
1082,21577,21538.8489949729,24856.830984393
1084,20036,20067.9172211449,23397.6070198755
1085,21199,21150.4749575887,24126.3530407436
1094,20551,20674.0236768548,23768.8977968611
1097,19284,19335.3144864176,22861.8708016034
1100,20167,20198.8548955796,24124.1390077724
1101,19854,19907.1778445539,22594.7571924841
1104,20406,20300.4893427203,24083.1006856741
1112,20936,21067.954819824,25233.9513723575
1118,20866,20787.2126050159,23351.7473131057
1121,21920,22105.9813354677,25144.7374077257
1124,20385,20353.9026086191,23428.1590745097
1126,18583,18517.3063036596,21358.9849185053
1131,20901,20786.4800234407,24311.2448845061
1139,20745,20669.048712218,24248.926691356
1141,21745,21737.682070338,24997.1940372373
1145,20347,20548.8092404621,22829.1456438036
1147,22535,22134.4175043782,24232.9965600981
1151,19192,19142.7733695108,24105.2056315013
1154,20220,20646.5952821948,25120.0138198817
1159,19241,19373.4067786668,23934.9140028988
1171,20113,20248.6227210323,23888.1977450925
1174,19494,19567.2788201605,23136.8148141135
1176,19558,19648.0554509382,23631.2198135217
1178,19453,19468.1988072641,22760.2053090777
1188,19629,19755.6025294104,23300.9269090277
1190,19933,20029.9048389976,23541.3108863894
1194,22721,22864.7576236303,25205.3229082639
1196,19974,19995.3343127189,23311.7822042782
1199,21388,21344.8968554312,23895.2541099394
1208,21787,21833.8623316378,24850.4884191769
1209,19825,19822.8250887311,22995.4102679024
1213,21191,21160.8714688675,23314.9307200577
1221,19383,19369.8461625626,22825.9672238011
1222,19870,19776.3651359237,23226.0292391279
1223,21299,21255.3532795981,23245.7561328071
1226,21472,21394.6176358846,25644.1441913737
1233,22655,22596.9228787571,24291.8451472877
1234,19311,19307.6337618929,23089.2724022135
1240,19210,19373.4672881745,23849.115428451
1245,20052,20104.6720244894,23847.106392483
1247,18259,18517.1743575516,22703.850509527
1252,22168,22152.0829737868,23755.6101741361
1255,19370,19628.7518879363,22510.272431327
1256,20974,20982.6730454216,24027.1347415071
1276,21295,21470.3235660636,23476.6037562106
1278,19521,19527.2559172659,23713.9473400561
1281,21958,21952.0686656801,25480.8089055828
1284,21416,21670.0217942317,23725.7547012169
1291,19879,19775.210968507,23107.6419617254
1297,18094,18040.7562170156,21705.5482503266
1301,20142,20204.719617581,23342.2720516993
1302,18435,18499.1122686302,21783.7984178612
1304,20619,20819.5296565643,24229.5230142819
1306,20798,20820.6849785813,24836.7525884338
1319,19310,19449.3204734268,22510.7206586746
1321,19201,19099.7643013253,23765.9334219685
1322,19893,19748.6742833652,24853.6247000775
1332,19919,20106.931161041,23093.1346214353
1339,21413,21693.2669517955,25591.783770995
1340,19412,19291.5987554772,23667.7810862164
1342,22945,22975.568229546,25628.8989272862
1346,21210,21134.1176681862,24565.3735747642
1348,20875,20840.6305618098,23706.0907734067
1349,19316,19505.195514532,23357.9493539485
1350,22494,22556.3455484497,25446.0160227388
1356,19130,19492.0693915617,23545.729717293
1360,18836,18682.9530283952,22581.5836096771
1365,21768,21780.144622117,24417.878192695
1366,19402,19251.4848011148,23289.5873365487
1371,21423,21560.3246242262,24024.2873679789
1379,21794,21651.4922054456,24734.6385149744
1386,18594,18586.4409209003,22762.7122836642
1391,21969,22118.4859281603,22906.6862565972
1392,19361,19539.2093906522,22254.8089382269
1393,19003,19184.6396503211,24031.7958907995
1394,19964,20046.4513843069,23213.0026013948
1402,21924,22020.6495402668,25447.2758504023
1407,19570,19752.7559585423,23189.4628824657
1412,21052,20864.7775669164,24379.2144452032
1421,19653,19750.3303307992,22777.1556439153
1430,21360,21367.2120393026,24334.6608623488
1431,20450,20416.918322894,22629.5618244677
1436,20774,20928.3731898193,24285.1921612537
1438,22228,22128.5076496099,25155.8952943957
1445,20360,20236.459191831,23675.2862882376
1449,20055,20112.1908696268,24469.13006142
1453,20814,20709.6167515352,24346.2283215551
1454,21957,21927.0594347077,24960.7786958863
1460,18459,18463.0805335202,22112.0873458031
1467,20497,20564.0650229477,23584.9836889269
1468,17751,17836.616437432,22145.0097523166
1472,19611,19740.1089216269,22849.6733080429
1478,21486,21482.7715122591,24725.157479892
1482,18728,18908.7929863063,21904.4757454641
1488,19695,19796.2688017447,23484.9643644032
1511,21393,21544.4690509952,24246.7405973252
1512,21724,21690.4024750123,25135.5566846594
1517,22823,22789.7994720895,26055.0139675853
1524,20921,21083.7203060027,24496.874077454
1526,22755,22586.9528302555,25757.7299031364
1531,23105,22893.439588995,25171.9445330248
1538,22573,22511.1971234557,25042.6697825657
1543,20381,20340.2513124961,23368.4533871576
1546,19637,19542.0436344347,22774.8357289728
1548,17442,17197.6203080108,21550.1409906477
1555,19358,19364.0410132998,23062.0227364768
1557,20427,20326.7489058669,22946.2251177666
