"event_date","L_prior_mu","L_posterior_median","L_posterior_lo95","L_posterior_hi95"
2024-10-31,5.65773542169443,5.67403813040524,3.79700297582956,8.59680522786408
2024-11-01,5.40804318410689,5.41713735512297,3.56253897791651,8.20846293885179
2024-11-02,5.40873335320175,5.40487169031851,3.58847946339695,8.16063362163257
2024-11-03,5.40940143760028,5.40073084729082,3.55751187048708,8.1119796798563
2024-11-04,5.6605777081388,5.65483060614537,3.71323957152904,8.55494236104517
2024-11-05,5.66123049013681,5.67794653768889,3.74623492174919,8.55295643765826
2024-11-06,5.66186013982777,5.64353750703745,3.7653138385631,8.52438292226889
2024-11-07,5.66246664947681,5.67210681385479,3.78766178624675,8.56076792097555
2024-11-08,5.41241031144819,5.38839023468882,3.539304283806,8.21637671869517
2024-11-09,5.41294572484202,5.27717278297111,3.82553442369798,7.53972111362213
2024-11-10,5.41345900179401,5.39852417428437,3.57287846923593,8.04915911851304
2024-11-11,5.66466114289003,5.6646529193518,3.8247465457871,8.48287080680891
2024-11-12,5.66515184624203,5.6754433212902,3.78024382579362,8.54155659664431
2024-11-13,5.66561936910619,5.65583767494892,3.72351441562551,8.63526162798323
2024-11-14,5.6660637057367,5.64738186849217,3.76674756783089,8.50919421555352
2024-11-15,5.41569312869294,5.39291965588542,3.5939963648817,8.17438619682342
2024-11-16,5.41607346406049,5.42635870743916,3.56651755413371,8.27704598518452
2024-11-17,5.4164316245471,5.4180554903985,3.52105348337752,8.27122014405197
2024-11-18,5.66760908497117,5.66932024762905,3.74898983237233,8.59190801279463
2024-11-19,5.66793741421302,5.6776000187282,3.74195286455629,8.58669184718615
2024-11-20,5.66824252872792,5.68072271859622,3.75644363371501,8.67367020967944
2024-11-21,5.66852442476481,5.66128952746849,3.75774421330584,8.71250171602279
2024-11-22,5.4178896592114,5.39506427051458,3.52136073168437,8.33734488043266
2024-11-23,5.41811468749581,5.4346264412703,3.58528294551447,8.24291105325622
2024-11-24,5.41831751580519,5.40641069433476,3.53665009302536,8.21659109155616
2024-11-25,5.66941975909964,5.70663116891219,3.73000226505254,8.6542668511251
2024-11-26,5.66958551646982,5.62634659852801,3.76880209547838,8.6659051228138
2024-11-27,5.6697280388499,5.65799382538213,3.69715512687921,8.71106792708416
2024-11-28,5.66984732448744,5.67509546634849,3.72825559553038,8.67161434799567
2024-11-29,5.41899857999583,5.42622458415329,3.55544884938416,8.24135792712631
2024-11-30,5.41906816563853,5.40838974217393,3.53350116001134,8.2756833910848
