"obs","k_baseline","k_covariates"
328,0.167540750418782,0.102595621805945
329,0.154758455442972,0.275436034738332
330,0.121315220293127,0.205847206892875
331,0.198492378297925,0.278565628886982
332,0.162209670319438,0.114117715421013
333,0.120898709962801,0.164850491917501
334,0.12992021703719,0.132571031089474
335,0.106729871702826,0.0952924988486096
336,0.194426768643898,0.288114962881289
337,0.142825154150744,0.256487818713842
338,0.104567436422794,0.142211182588525
339,0.13921079836831,0.229044440516416
340,0.134452205350998,0.1502217126612
341,0.0553718871112592,0.0995608073898797
342,0.0553718871112592,0.0995608073898797
343,0.0891675919271558,0.160167994629013
344,0.0864185078031982,0.00274712564836736
345,0.12921477863931,0.141736732606824
346,0.120283320275873,0.0526328966172312
347,0.0696929049045748,-0.00226303093231756
348,0.0691408411874698,0.0977685253900414
349,0.106826696038344,0.148604981708055
350,0.0793311124993238,0.0132816635965287
351,0.0987719545530915,0.149345839111286
352,0.12814900589484,0.180285465869992
353,0.00536836061713814,0.0743703195320415
354,0.118301325063362,0.207145925838832
355,0.122139702253002,0.185079279007191
356,0.059463654864826,0.0864692064646538
357,0.204685764092539,0.105881298080988
358,0.285929639996406,0.0774050815364348
359,0.122139702253002,0.185079279007191
360,0.0407142771865824,0.0662465310704072
361,0.165210114178487,0.144896169531523
362,0.150407827909979,0.0558834631001147
363,0.0404065364879693,0.0598127579376192
364,0.207365301432693,0.113112642300198
365,0.207365301432693,0.113112642300198
366,0.108053353037578,0.135019316444732
367,0.0836296587115845,0.0955363784344237
368,0.275666036730848,0.102292099031269
369,0.207162125310917,0.14294962453229
370,-0.0931704538763049,0.011383433840025
371,0.146331254346656,0.0250236268176594
372,0.0819590042332668,0.13060568077504
373,0.126170295758979,0.150729188733787
374,0.116713059187943,-0.0226703393240467
375,0.0827888240157163,0.127357771882909
376,0.126721049727831,-0.0268224645689299
377,-0.0609708693120855,0.0908952377149078
378,0.115976540130321,-0.00990647233960073
379,0.105461399584264,-0.00865484639673196
380,0.136381300003644,0.000501352202138851
381,0.0961743751298477,-0.0242013991117595
382,0.10779446261314,0.0138988929027635
383,0.0570530840951439,0.00772288750687192
384,-0.0778500381164049,0.0611799124809325
385,0.0680005267208809,0.100899983437762
386,-0.0411695407782499,-0.0258117944842052
387,0.218472334470712,0.203247089657077
388,0.100748633488711,0.0297557144212979
389,0.0921552485589575,0.138839661437841
390,0.0283950508763273,0.0777483325880694
391,-0.121235764834742,-0.00139769872608802
392,0.0263839738075164,-0.0129172769955664
393,0.0546041178256094,0.0981453591867987
394,0.0680005267208809,0.100899983437762
395,0.0206730785576805,-0.0330834476739001
396,0.120667529247587,-0.00342882145145039
397,0.196948531931505,0.211290496370063
398,-0.126342218076309,-0.0388022583322898
399,0.141792462451394,0.237968267418491
400,-0.172369265686561,-0.0110308713256224
401,-0.118476687978729,0.025130649769715
402,-0.0721983072647722,-0.059511154355387
403,-0.0995859926076039,0.00771303775086714
404,0.139146797858011,0.215597578013749
405,-0.108269541804754,-0.0126550215914062
406,-0.0126237900933247,-0.0945957467744086
407,-0.159953232151198,0.0103950318952606
408,0.144572449629135,0.243654169670791
409,-0.0401504086063147,0.0131340868449207
410,0.100526692249556,0.236389390356047
411,-0.0176193002489735,-0.0935589298253757
412,-0.0995859926076039,0.00771303775086714
413,0.168661361876377,0.311483494754078
414,-0.12270925535598,-0.0414687898970719
415,0.264391865077578,0.328710509826403
416,-0.0588782230789295,-0.0715841935573137
417,-0.0721983072647722,-0.059511154355387
418,-0.135982666329545,-0.00838213208628108
419,0.160696877169416,0.240920876796757
420,-0.0416110985394065,0.00223029047868524
421,0.162214838050284,0.313476960379646
422,0.158785409116888,0.231380737504913
423,0.00332302824110832,-0.0620094100558767
424,0.0997369594284057,0.181224056533226
425,0.123102286649552,0.176669997779156
426,-0.0216054755032803,-0.0411339387181614
427,0.00693444389183333,-0.0432990227613189
428,-0.0169835997006591,-0.0597782947277846
429,0.142435408115255,0.147799658593305
430,0.0881980197680012,0.188764109986608
431,-0.00178726033414867,-0.0499380857002175
432,-0.0135569745633367,-0.089239059314706
433,0.0445817862855366,0.126480892424731
434,0.051474899039975,-0.0457472295027731
435,-0.0165384485755709,-0.100543390747611
436,0.0142365018600971,-0.0469120142063444
437,0.0110093768667152,0.00774011103170918
438,0.00693444389183333,-0.0432990227613189
439,0.0751299418827142,0.0900281553601912
440,0.00675361465136579,0.0353897293502568
441,0.00332302824110832,-0.0620094100558767
442,0.0785488261207719,0.10477515902419
443,0.154624844460116,0.12608903021134
444,-0.0257300218872572,-0.0399977645870483
445,-0.0219898401362296,-0.0848222360112171
446,0.0724901207735933,0.0894803544248868
447,0.0442417805213418,-0.0400645661113531
448,0.0118296440206136,-0.0537134621005967
449,0.00675361465136579,0.0353897293502568
450,0.00689964725425308,0.00139332749525413
451,0.0175887576682376,-0.0435949693369003
452,-0.0271608259180636,-0.0151368320066759
453,-0.0597920704618349,0.139466024888432
454,-0.0513720840311933,0.104128311411855
455,-0.0298036313668682,0.140080019033505
456,0.294964002606783,0.355636044367123
457,-0.0740384957136978,0.0702535358614765
458,-0.0420935129900799,0.118240221879936
459,-0.0833539808418355,-0.00889479496687041
460,0.0980557926316849,0.118559835128098
461,-0.0298036313668682,0.140080019033505
462,-0.0784396771814189,-0.00554061159970827
463,-0.0328653066012943,0.209838529902774
464,-0.0472254890149524,0.123807928576
465,-0.0822476509787188,0.0231096631407598
466,-0.0609963401010658,0.0207156227370694
467,0.138604060443456,0.172387912790994
468,0.138847478676676,0.188798774351612
469,0.141819376443489,0.13238278853556
470,0.0787245725167917,0.220030081520568
471,0.0924723919176021,0.135507040813425
472,0.0357659964398491,0.194093267093962
473,0.11917250840649,0.100652330937308
474,0.200446299986543,0.171629827381424
475,0.119688187240021,0.102584628277507
476,0.243029099148179,0.234407160985058
477,0.036806706553392,0.0790251331958874
478,0.102356401655904,0.189086937362288
479,0.0795441653058659,0.180290021190325
480,0.102356401655904,0.189086937362288
481,0.130078716427384,0.122638343302885
482,0.123305218541449,0.106496264507772
483,0.0202632406506335,0.0560371321897115
484,0.181099123969133,0.174400216785482
485,0.0707665338414,0.083261944211951
486,0.00568253467112274,0.0531154423702201
487,0.0854998332208488,0.116426846286676
488,0.0232933338370652,0.0777579246492563
489,0.23983256376473,0.194695142709094
490,0.164690216975374,0.167148732742522
491,0.145131928219872,0.130911380966136
492,0.036788601545652,0.0813426398539967
493,0.107149918508607,0.105898619655379
494,0.144897721860222,0.146732518128428
495,0.11742352955803,0.0962409941077768
496,0.0965976469588704,-0.0125537209153255
497,0.043105235065365,-0.0161134662345876
498,0.135406809149684,0.0612322213891692
499,0.133040719160377,0.0601413147446936
500,0.116794081445037,0.0330089433208744
501,0.144101363569251,0.109530578067116
502,0.335832007990204,0.138652895663503
503,0.149257605601624,0.0682818074214845
504,0.137559624373143,0.0526001755433052
505,0.217046805561083,0.182762854273613
506,0.0903724679770875,0.0716452435594043
507,0.0018701197963273,0.0855669280447831
508,0.158594391576415,0.194527348772808
509,0.146416753683574,0.096651659055365
510,0.111082410512398,0.15022742352887
511,0.0210818879553485,0.213270682865729
512,0.0292405008972412,0.209153983580938
513,0.00570175203667257,0.0161074943992382
514,-0.0114063706556819,0.125666203937034
515,-0.0274056305232993,0.064560624832903
516,0.0709799722841289,0.221346559881972
517,-0.0266542942921453,-0.00298407223968909
518,-0.0342868333251352,0.0116469243244586
519,0.0181421423364053,0.00262100202045975
520,-0.0412486905808126,0.0437587000984861
521,-0.0285378647872658,0.0167918694048518
522,0.15298969350537,0.321190830463405
523,0.0249295733814482,0.187871269540464
524,-0.00682347424830022,0.114418119823106
525,-0.0312030987615261,0.0168387026416461
526,0.213525207659233,0.281994982256714
527,0.159262704599733,0.0678091230385953
528,0.21396904979106,0.0611833095788774
529,0.0675929951788233,0.166770492233374
530,0.196427406606687,0.229110223046953
531,0.207024119819739,0.0545437257448859
532,0.166747384246709,0.0128522755639228
533,0.194907477934048,0.15136121460498
534,0.165778156227981,0.0325237680389294
535,0.160176179272075,0.0968752386675691
536,0.00441948454508083,0.183084706022782
537,0.112065020645172,0.17810889060598
538,0.15949955583765,0.257510887957242
539,-0.0501853333169239,0.129162773812145
540,0.245382489675406,0.284220274509978
541,0.206482502691328,0.00416835164949671
542,0.0388191503004685,0.0897401941046209
543,0.0836885237163748,0.129439652776589
