"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik_catch[173]",-2.47257945396776,0.00062711667173848,0.041375919678044,-2.55513360308051,-2.50039222960406,-2.4719055979204,-2.44446481139848,-2.39278381800477,4353.09983175226,1.00066530677042
"log_lik_catch[174]",-3.04454301951648,0.000917438852057782,0.0729018434923118,-3.19561539432061,-3.0900865713165,-3.04036129688913,-2.9947330161822,-2.91161725963132,6314.26443117472,1.00025905034664
"log_lik_catch[175]",-1.54450893220074,0.000737177867339777,0.0560533940365342,-1.66279238595389,-1.57969451538564,-1.54102937940915,-1.5053206375945,-1.44487186379752,5781.7492558545,0.999903614176769
"log_lik_catch[176]",-2.47257945396776,0.00062711667173848,0.041375919678044,-2.55513360308051,-2.50039222960406,-2.4719055979204,-2.44446481139848,-2.39278381800477,4353.09983175226,1.00066530677042
"log_lik_catch[177]",-1.27424992288597,0.000383903845931518,0.0249845003761418,-1.32573418774437,-1.29025427015668,-1.27262846668681,-1.25746172974079,-1.22818402364802,4235.41931176559,1.00028317639026
"log_lik_catch[178]",-2.51859066930933,0.000632140641291722,0.0500683779917151,-2.62106372799783,-2.55117689132984,-2.51613880535389,-2.4839559323022,-2.42559602077038,6273.3514591692,1.00056919799886
"log_lik_catch[179]",-2.57911349958663,0.0008299816030079,0.0539202867507262,-2.68893821360145,-2.61424041899957,-2.57659398628051,-2.54266426179801,-2.48083237340875,4220.53449380763,1.00003264743175
"log_lik_catch[180]",-1.91688556370588,0.000748428369732729,0.0535670607918257,-2.02880634445586,-1.95053268675705,-1.91383590230409,-1.87959518006281,-1.82295463798024,5122.65551910902,0.999911689892398
"log_lik_catch[181]",-2.31581603930944,0.000686635319720687,0.0438523803761557,-2.40383452571895,-2.3444100626633,-2.31397418685713,-2.2866915175141,-2.23221314536274,4078.81555183823,1.00027986524502
"log_lik_catch[182]",-1.55747713605186,0.00131355369718844,0.106321038859536,-1.77961440373084,-1.62594211078413,-1.55422228687628,-1.48558502567354,-1.36042340838126,6551.53040027578,1.0001967708875
"log_lik_catch[183]",-1.55747713605186,0.00131355369718844,0.106321038859536,-1.77961440373084,-1.62594211078413,-1.55422228687628,-1.48558502567354,-1.36042340838126,6551.53040027578,1.0001967708875
"log_lik_catch[184]",-3.04454301951648,0.000917438852057782,0.0729018434923118,-3.19561539432061,-3.0900865713165,-3.04036129688913,-2.9947330161822,-2.91161725963132,6314.26443117472,1.00025905034664
"log_lik_catch[185]",-3.13824567623008,0.00178771282515981,0.137755942117355,-3.41442116993674,-3.2286583247074,-3.13605927411599,-3.04432009320068,-2.87788594805454,5937.79460675286,0.999912667350165
"log_lik_catch[186]",-2.66983591228791,0.00075294806738578,0.0478925675761596,-2.76540622156336,-2.70121765363405,-2.66803253351902,-2.63814568143926,-2.57790058277149,4045.81663348574,1.0002791035503
"log_lik_catch[187]",-1.82074790257502,0.000565343894792184,0.0453280885480834,-1.91502063830785,-1.84970179800635,-1.81828305904042,-1.78994899716206,-1.73670538325092,6428.49629676818,1.0003710135609
"log_lik_catch[188]",-2.77507127731234,0.000856089166129855,0.0681320637716554,-2.91751558510288,-2.81741634310809,-2.77122475587292,-2.72846308592716,-2.65016610309704,6333.81080213963,1.00028005086709
"log_lik_catch[189]",-2.92784881856067,0.000670575883308671,0.0525053638182541,-3.0350730441602,-2.96235846663254,-2.92554283583384,-2.89175887685921,-2.82954903027531,6130.72002712918,1.00062092161448
"log_lik_catch[190]",-2.40270810382358,0.000806750283488099,0.0535443277608998,-2.51154230366275,-2.43757517090106,-2.40023324811534,-2.36589612902507,-2.306656520617,4405.02814440098,0.999997516766252
"log_lik_catch[191]",-1.27424992288597,0.000383903845931518,0.0249845003761418,-1.32573418774437,-1.29025427015668,-1.27262846668681,-1.25746172974079,-1.22818402364802,4235.41931176559,1.00028317639026
