"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik_gear[30]",-4.91639447521733,0.00526531055534624,0.500554432282705,-6.04020991645642,-5.21573105920941,-4.86880754251264,-4.56167560247689,-4.08326771113027,9037.63170806947,0.999795554158877
"log_lik_gear[31]",-3.46313926934914,0.00253411983480712,0.170158107661737,-3.82530455514866,-3.56850552707738,-3.45426574378613,-3.34627912572476,-3.16593575720773,4508.69645654288,1.00025865321586
"log_lik_gear[32]",-3.65028204907568,0.00361002647133695,0.277377044522254,-4.22579397905558,-3.81978422471551,-3.63767360554778,-3.45908261062881,-3.13413517415818,5903.64534503594,1.00099743319329
"log_lik_gear[33]",-3.99324285981648,0.00256766695621799,0.208069820578992,-4.53105466340802,-4.08197693820481,-3.9584437785916,-3.85511913502345,-3.69623829085752,6566.60361036041,1.00128830388736
"log_lik_gear[34]",-5.14833156473613,0.00605100364536512,0.439893234663284,-6.32315456598946,-5.32719957059567,-5.03510630493224,-4.84902299630026,-4.6152849771165,5284.93604917653,1.00003747713959
"log_lik_gear[35]",-4.07197710987567,0.00471348795664338,0.401856235433963,-4.94862442132662,-4.32010868335414,-4.04814420484417,-3.79968590654006,-3.33841805605556,7268.69790434191,1.00121305753216
"log_lik_gear[36]",-3.46983298923724,0.00271860652437422,0.18397958419721,-3.85573632468703,-3.58412833700042,-3.46222704436716,-3.34142282443774,-3.14253025493702,4579.80045952268,1.00039645609851
"log_lik_gear[37]",-3.59341506954206,0.0015249182898963,0.123191942417355,-3.85741958855623,-3.66693430030183,-3.58532697170868,-3.508994690379,-3.37461590368705,6526.36650652778,1.00027933171544
"log_lik_gear[38]",-4.1885497140894,0.00337549977927325,0.262612268156581,-4.87768353157867,-4.29896478201328,-4.13420269399685,-4.0146783188038,-3.83701857627593,6052.76556894306,1.00125312819559
"log_lik_gear[39]",-4.47771566250208,0.00506786922066757,0.411420314509887,-5.36626577997455,-4.73099706739773,-4.44890963257033,-4.18618980634164,-3.76325925241492,6590.53491908033,1.00067454778758
"log_lik_gear[40]",-3.5959822790807,0.00161100704783565,0.125688239236068,-3.87083414272866,-3.66734211804901,-3.58706074873118,-3.5128818685039,-3.37316666669998,6086.87528842363,1.00090371491795
"log_lik_gear[41]",-4.77709524917127,0.00644275823674828,0.459145345917148,-5.97851526529554,-4.96647407094243,-4.66614276401027,-4.46426152301589,-4.21118777659976,5078.74845606956,0.999883365148532
"log_lik_gear[42]",-5.03597162324825,0.0075917915915445,0.535458804300234,-6.4191682086218,-5.26436104725856,-4.9081190099194,-4.66479293647553,-4.36698935793056,4974.66193885513,0.999880778279656
"log_lik_gear[43]",-4.45025213064546,0.00275370337540788,0.205046636867132,-4.95653090924911,-4.53123734730462,-4.41697739799667,-4.32580918611568,-4.16064387540634,5544.60978550272,0.999862656068234
"log_lik_gear[44]",-3.5519198862824,0.00356832895041385,0.249494776173518,-4.05769135352175,-3.7161195387516,-3.54736584408154,-3.38095104722325,-3.07701265345559,4888.69729629754,1.00020727302818
"log_lik_gear[45]",-7.85779768958731,0.0121244075729592,1.14334050290988,-10.2493773280985,-8.58840555012728,-7.81091148940152,-7.07894034002946,-5.72546251703137,8892.62795794576,1.0003628603113
"log_lik_gear[46]",-3.47753801203355,0.00313801830754974,0.210407674849464,-3.90672204246277,-3.61926629462546,-3.4764330523423,-3.32995337038218,-3.08299203730843,4495.85409271945,1.00027111418101
"log_lik_gear[47]",-4.38640048637211,0.00573479737561998,0.487441882830192,-5.43146132813998,-4.69417539586543,-4.34598918903526,-4.05652700117851,-3.49583665274011,7224.52884952191,1.00029425683024
"log_lik_gear[48]",-4.38576696053918,0.00529698604238026,0.400705001305914,-5.24283928405666,-4.6361246767509,-4.35807107312161,-4.098460476866,-3.68819831609939,5722.57994982222,0.999631660160094
"log_lik_gear[49]",-3.69900085608781,0.00257139722175769,0.197764930263709,-4.20033250631533,-3.77345376075133,-3.66539898975908,-3.57697967659885,-3.43346690005888,5915.07451840908,0.999738488860339
"log_lik_gear[50]",-3.89321603774573,0.00197322553388257,0.151668029342977,-4.23325652309639,-3.9735980386208,-3.8778820608163,-3.79455331437888,-3.64456008074257,5907.92038976641,1.00036789904206
"log_lik_gear[51]",-4.63674000455401,0.0110007517087867,0.563769917002152,-6.18803364822517,-4.80401770246795,-4.44386237426585,-4.28177382333536,-4.08761085847926,2626.3891213006,1.00286508952828
"log_lik_gear[52]",-6.33862015448597,0.00977225987381333,0.782953951840299,-8.24982531728764,-6.78660883391946,-6.22619272787836,-5.76593531539032,-5.16197379436801,6419.22244705009,0.999618550489767
"log_lik_catch[1]",-2.34375969729959,0.00107338067059504,0.0897120010058475,-2.53622213126037,-2.40157500550814,-2.33918052068622,-2.28137753481821,-2.18211659574116,6985.43646148655,0.999948004531404
"log_lik_catch[2]",-4.24325453823336,0.00159250864251827,0.130773778832373,-4.52391379110322,-4.32417427620043,-4.23442131844452,-4.15257092132473,-4.01393744488833,6743.38181908619,1.00041747105347
"log_lik_catch[3]",-1.50559379522327,0.00105972931446568,0.090650556550846,-1.68819942965417,-1.56428290550728,-1.50305460998215,-1.44358389087463,-1.33767771095834,7317.30324464954,0.999656673809236
"log_lik_catch[4]",-1.79728643156648,0.0011836594455775,0.0968284411078001,-1.99573913089321,-1.85945330426837,-1.7942410790116,-1.73015075506311,-1.61918069693404,6691.94470433716,1.00004640353136
"log_lik_catch[5]",-1.50559379522327,0.00105972931446568,0.090650556550846,-1.68819942965417,-1.56428290550728,-1.50305460998215,-1.44358389087463,-1.33767771095834,7317.30324464954,0.999656673809236
"log_lik_catch[6]",-1.99311232808929,0.000417021411660643,0.0371874994496096,-2.06719378383371,-2.01772366695331,-1.99180758173811,-1.96849100542151,-1.92134752554084,7952.01599833883,1.00053317773248
"log_lik_catch[7]",-1.50559379522327,0.00105972931446568,0.090650556550846,-1.68819942965417,-1.56428290550728,-1.50305460998215,-1.44358389087463,-1.33767771095834,7317.30324464954,0.999656673809236
"log_lik_catch[8]",-3.75799777072076,0.00189680464022016,0.156576945425597,-4.0872166647828,-3.85508636789843,-3.74823087736718,-3.65072987999546,-3.47540138163971,6814.13017585238,1.00030945579133
"log_lik_catch[9]",-1.50559379522327,0.00105972931446568,0.090650556550846,-1.68819942965417,-1.56428290550728,-1.50305460998215,-1.44358389087463,-1.33767771095834,7317.30324464954,0.999656673809236
"log_lik_catch[10]",-2.62566194905473,0.00103898156558883,0.0858188599312817,-2.80505617562223,-2.67985413407595,-2.62085890004656,-2.5654456694344,-2.47156810460113,6822.59823463742,1.00033086968254
"log_lik_catch[11]",-1.50559379522327,0.00105972931446568,0.090650556550846,-1.68819942965417,-1.56428290550728,-1.50305460998215,-1.44358389087463,-1.33767771095834,7317.30324464954,0.999656673809236
"log_lik_catch[12]",-3.1728265287617,0.000783191151162958,0.0683762794112776,-3.31236982736437,-3.21599913838466,-3.17118038998135,-3.12677518100891,-3.04237103243336,7622.11307584566,1.00006672056696
"log_lik_catch[13]",-1.80873873986397,0.000579580909002181,0.0504826852641964,-1.91707563723869,-1.84061956388235,-1.80616622740208,-1.77378100128776,-1.71755105411785,7586.7670989465,0.999933274485997
"log_lik_catch[14]",-1.79728643156648,0.0011836594455775,0.0968284411078001,-1.99573913089321,-1.85945330426837,-1.7942410790116,-1.73015075506311,-1.61918069693404,6691.94470433716,1.00004640353136
"log_lik_catch[15]",-2.61686024675678,0.000791967050355186,0.0656017502935278,-2.7542134200838,-2.65881065921043,-2.6124108884952,-2.57204053444183,-2.49972878754125,6861.46144071612,1.0005547880114
"log_lik_catch[16]",-1.78861479751941,0.00130209626992138,0.112013555337612,-2.02056611115707,-1.86139058180738,-1.78425537954812,-1.71180522164831,-1.58161318616747,7400.39625235297,0.999509592440776
"log_lik_catch[17]",-2.61686024675678,0.000791967050355186,0.0656017502935278,-2.7542134200838,-2.65881065921043,-2.6124108884952,-2.57204053444183,-2.49972878754125,6861.46144071612,1.0005547880114
"log_lik_catch[18]",-1.50559379522327,0.00105972931446568,0.090650556550846,-1.68819942965417,-1.56428290550728,-1.50305460998215,-1.44358389087463,-1.33767771095834,7317.30324464954,0.999656673809236
"log_lik_catch[19]",-4.57241127715483,0.00320583468520665,0.261390409498924,-5.13680582339797,-4.73450653653165,-4.55307815079994,-4.3886631895278,-4.10833090134178,6648.09246893932,1.00049643792721
"log_lik_catch[20]",-1.74132193710614,0.000441389965680234,0.0384617821506794,-1.82270327105504,-1.76623011321614,-1.73973644414361,-1.71482907547399,-1.66987537904057,7593.00866528299,1.00056999213134
"log_lik_catch[21]",-2.54334303231052,0.000547140538802454,0.048388499572226,-2.63727257152969,-2.5753034520046,-2.54287146994409,-2.51133761428841,-2.44984924124113,7821.43650361176,1.00095746773525
"log_lik_catch[22]",-2.01208016780432,0.000480015068367114,0.0418541125783184,-2.09909386697667,-2.03874931740265,-2.01000813174767,-1.98321981933387,-1.93461435318226,7602.67691173017,1.00034563558267
"log_lik_catch[23]",-0.870083960239264,0.000692442005025842,0.0588033606898288,-0.986239731512706,-0.909299608544013,-0.869632577252931,-0.829052252431295,-0.757537602950809,7211.69720882551,0.999955326630259
"log_lik_catch[24]",-1.6434849863358,0.001000071665964,0.0789404384968705,-1.80954546102428,-1.69492222708277,-1.64048557389541,-1.58860314347951,-1.49752084908335,6230.69973987071,1.00002788080171
"log_lik_catch[25]",-1.29972792275176,0.00034057605398342,0.0296243546262276,-1.36169663579613,-1.31848427056017,-1.29818604086688,-1.27939138714792,-1.24524894724539,7566.05644968428,1.00018321259749
"log_lik_catch[26]",-0.870083960239264,0.000692442005025842,0.0588033606898288,-0.986239731512706,-0.909299608544013,-0.869632577252931,-0.829052252431295,-0.757537602950809,7211.69720882551,0.999955326630259
"log_lik_catch[27]",-2.19569464384817,0.000860959977070396,0.0699461350639267,-2.34191768098606,-2.2399554105014,-2.19292152374385,-2.14759443489796,-2.06678382243462,6600.26720789496,1.00026707944761
"log_lik_catch[28]",-2.26045218166184,0.000573642703283316,0.0495906407051343,-2.36479384804561,-2.29286476500795,-2.25885687598026,-2.22641879130208,-2.16664519062991,7473.37011880667,1.00077243154595
"log_lik_catch[29]",-2.19569464384817,0.000860959977070396,0.0699461350639267,-2.34191768098606,-2.2399554105014,-2.19292152374385,-2.14759443489796,-2.06678382243462,6600.26720789496,1.00026707944761
"log_lik_catch[30]",-0.870083960239264,0.000692442005025842,0.0588033606898288,-0.986239731512706,-0.909299608544013,-0.869632577252931,-0.829052252431295,-0.757537602950809,7211.69720882551,0.999955326630259
"log_lik_catch[31]",-2.45587794554165,0.000725767985083046,0.0603349203698805,-2.58651134586245,-2.49395995007252,-2.45187981659264,-2.41387580670047,-2.3473011968946,6911.01561457178,1.00021491936365
"log_lik_catch[32]",-1.37551852339664,0.000956365955725971,0.0844559136855358,-1.54511589713872,-1.43093320648775,-1.37338721811054,-1.31602548868775,-1.21887549270898,7798.51503144869,0.999777011036613
"log_lik_catch[33]",-1.85881955848612,0.00139740507131422,0.121119174791222,-2.11378420375293,-1.9355997218919,-1.85418750173841,-1.77636136163657,-1.63511223079593,7512.44276784575,0.999591858619432
"log_lik_catch[34]",-2.26045218166184,0.000573642703283316,0.0495906407051343,-2.36479384804561,-2.29286476500795,-2.25885687598026,-2.22641879130208,-2.16664519062991,7473.37011880667,1.00077243154595
"log_lik_catch[35]",-2.74397951368888,0.00106108382247041,0.0860986808885253,-2.93333485871113,-2.79890444000847,-2.73683077140922,-2.68337218418233,-2.59200849714582,6584.05740831856,1.00010600676115
"log_lik_catch[36]",-2.21360312032915,0.000481415756307513,0.0426534440936009,-2.29958622747767,-2.24140757164912,-2.21197485303922,-2.18476843900365,-2.13151461315702,7849.96297584521,1.00069331504133
"log_lik_catch[37]",-1.85881955848612,0.00139740507131422,0.121119174791222,-2.11378420375293,-1.9355997218919,-1.85418750173841,-1.77636136163657,-1.63511223079593,7512.44276784575,0.999591858619432
"log_lik_catch[38]",-2.23037552234531,0.00134626878775447,0.106177478200193,-2.45319201806785,-2.29973212879045,-2.22552067879476,-2.15632521761505,-2.03619392112078,6220.15573534126,1.00002451327685
"log_lik_catch[39]",-2.38227681481329,0.000884101607540869,0.0723465490555239,-2.54117322647945,-2.42874808621582,-2.3760979268495,-2.3315282224787,-2.25378998374488,6696.2441436685,1.0000854943971
"log_lik_catch[40]",-3.29834807555236,0.00186385821159769,0.150980067340963,-3.62425815692487,-3.39350931531393,-3.2873695689131,-3.19164115031334,-3.03334645985427,6561.6564272134,1.00027550587989
"log_lik_catch[41]",-4.15906156129745,0.00301518369310978,0.243544322256059,-4.68214415696999,-4.31203841459681,-4.14574649703598,-3.98577410634591,-3.72913373611392,6524.21804806648,1.00034819589042
