"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lambda_Ctot_S[1,50,1]",4.4313524069287,0.0695798184148814,5.21974622111259,0.689030628321618,1.90375341205258,3.16455225001942,5.32998628567226,15.8602813543668,5627.71628778207,1.00011007851082
"lambda_Ctot_S[1,51,1]",4.45328964675759,0.0722662673508802,5.50576625483718,0.701086912429766,1.87781412178616,3.15744533292003,5.35914068897083,15.9046809465912,5804.49300917282,1.00014348824406
"lambda_Ctot_S[1,52,1]",4.41845765147121,0.0680328301060798,5.31603686916455,0.699676277390513,1.88540556875588,3.15542772540908,5.32555972684956,15.607805047497,6105.74824656719,0.999906572433414
"lambda_Ctot_S[1,53,1]",4.4426854035505,0.0683289020215472,5.2735662513447,0.686211688283404,1.86188822441221,3.16810398274539,5.30117310889908,15.8225689078164,5956.62045576159,1.0001079907495
"lambda_Ctot_S[1,54,1]",4.4253174858639,0.0684603313470298,5.21391994601139,0.710804381721442,1.89641910911246,3.16464150984057,5.31920221765842,15.4351672467951,5800.30357237834,1.00000443442728
"lambda_Ctot_S[1,55,1]",15.8419183549956,0.36505697283857,26.1397646786613,1.56676203755392,5.02041762543855,9.26573853560486,17.7020587754726,69.276588801814,5127.22115821107,1.00007693125568
"lambda_Ctot_S[1,56,1]",15.9743789553454,0.385944706900232,27.8350450377817,1.57397730037129,5.09379573816696,9.28761442362567,17.5135905482022,69.461856740774,5201.56079087033,1.00003322146628
"lambda_Ctot_S[1,57,1]",4.4304355090768,0.0675811113281149,5.24688294111472,0.68213632075014,1.87126251615617,3.16094495494017,5.31790293318068,15.4934123223057,6027.70642069731,0.999939653615626
"lambda_Ctot_S[1,58,1]",4.44239511883142,0.0691715961647602,5.46495312617923,0.705821870058442,1.86975989288883,3.14944566912984,5.38955139978445,15.6578298117859,6241.90691685773,1.00012695779304
"lambda_Ctot_S[1,59,1]",4.44715614232622,0.0700030745209499,5.2402206005318,0.716883183757309,1.88485166291812,3.169874377331,5.3600839677198,16.120235810223,5603.57141379393,1.00025259207886
"lambda_Ctot_S[1,60,1]",4.44835675008206,0.0697785205002199,5.3858242081476,0.71107527441159,1.86761826671437,3.17747718257924,5.3922996627548,15.3806227438149,5957.45587296303,1.00016414114872
"lambda_Ctot_S[1,61,1]",4.47515826902463,0.0692150375897545,5.16830509170866,0.706600571045065,1.86797675113579,3.17962909340607,5.2838467154766,16.0634096403676,5575.64824408086,1.00012120327643
"lambda_Ctot_S[1,62,1]",16.0864447522815,0.396931647268645,28.3035207950199,1.58676066552746,5.0029632081325,9.24692923451998,17.8633362259383,70.0553775006113,5084.51429009527,1.00010075099694
"lambda_Ctot_S[1,63,1]",16.0425040730816,0.387645365905644,28.1081635744367,1.58501079571975,5.04309156830102,9.32558644405601,17.4152362420475,70.3574348749825,5257.6993864394,0.999968399977585
"lambda_Ctot_S[1,64,1]",4.45834312923408,0.0696433046127243,5.38066630059125,0.698956443836023,1.87206030455118,3.15285358367859,5.30735091274542,15.8317122879072,5969.16215040085,0.999958198998484
"lambda_Ctot_S[1,65,1]",4.45262189765603,0.0699700267391944,5.46307148980573,0.690212384022016,1.88859883042316,3.1617224234615,5.32354152458626,15.9265152270752,6096.06638455366,0.999870541861271
"lambda_Ctot_S[1,66,1]",4.44665370244769,0.0737152040419608,5.66833858282854,0.690610783552422,1.88021615123717,3.15265725119405,5.33661890190056,15.708520151337,5912.85764847646,1.00008863188789
"lambda_Ctot_S[1,67,1]",4.4585873440501,0.0737227000725104,5.70218829178582,0.692972752675656,1.88558269942135,3.1760086318515,5.32469733106153,15.7214892826498,5982.47155823079,1.00006777393746
"lambda_Ctot_S[1,68,1]",4.4450958795032,0.0709189771234913,5.39583020269891,0.704357639948858,1.86575469452937,3.14935267590304,5.3514175349892,15.6083533782113,5788.84102929524,0.999914722521593
"lambda_Ctot_S[1,69,1]",15.9998252043167,0.384013889631191,28.3894569217667,1.6329431551102,5.03863315502243,9.19049273472007,17.8157097817191,72.043718382789,5465.37925051565,0.999984209023714
