"draw","C_sum","C_expected_sum","E_sum"
6042,57207,56979.3577169314,115153.257874194
6045,51405,51363.2686070051,81024.7734105159
6049,61106,60939.9225159058,72672.1634312375
6054,61145,61124.1492322163,111239.123102238
6056,50406,50230.6645065962,80225.9621128283
6058,42658,42846.1792493322,96901.0105630835
6062,57934,57857.7790617166,82407.7660943151
6063,75411,75524.8937207017,86899.8978876193
6069,60511,60441.4079833725,83773.6576573415
6073,77031,76898.920128514,109645.357994702
6081,46263,46439.9718509511,75314.8600630447
6083,72312,72488.6793361067,90711.6871371597
6089,54971,55109.3689974002,88153.6272630326
6097,35411,35609.506233265,90076.8027931991
6100,58084,58196.7080712892,73849.71105905
6101,33230,33383.1897913938,64991.9752156122
6105,54898,55214.9120891791,91488.7452801141
6111,46809,46775.2764539312,81744.0785713406
6120,89385,89398.8440252387,100430.625322054
6126,68822,68569.2525945733,95351.7850418797
6127,70147,70287.7267410309,104434.630579637
6128,52620,52790.8356810579,79901.9467437545
6144,84199,84260.2767709399,102444.451803361
6151,71479,71596.7931837046,109590.067181851
6158,64583,64630.5270440688,86177.646600207
6166,37904,37914.0869135986,84181.1111425375
6175,70398,70295.7996719869,93739.6863066719
6184,49531,49749.0796777517,77432.9131737262
6185,75021,74965.4053644035,88517.6136650454
6193,47023,47007.947362681,78925.5657577381
6194,72390,72032.3928322154,110414.692512981
6198,51800,51572.4011512227,76172.1563056982
6199,58589,58650.9296966988,89192.7186650361
6211,51761,51878.5154428827,76495.2909426168
6215,65209,65252.8597374006,100215.743133042
6226,68849,68989.839237841,86894.4233664112
6230,59580,59585.79784165,85681.8471750126
6239,64490,64339.5902880944,94354.9732359334
6244,54285,54320.1173765012,129155.646800055
6246,47103,46708.5994966115,97568.6034715015
6248,62850,62526.2752429546,89458.7672459477
6249,57845,57595.2731905042,81189.8246519169
6255,51497,51606.1964904387,88459.937758498
6261,45780,46027.0405845135,87184.5609066194
6272,53835,53510.4077092229,76556.7188957537
6273,64082,63587.0239016439,88920.4797237256
6274,66652,66779.9640043913,95036.5671389557
6280,45350,45028.4733254539,87110.6748447794
6281,61913,61891.1088774695,93579.5847619942
6289,70575,70636.4116045278,78638.8802011083
6291,31170,31135.0853330657,80290.6215286891
6296,44915,44991.982069671,105086.185068704
6299,56610,56680.5202690824,101355.878215821
6306,79287,78843.6578386139,110580.925851253
6325,44606,45003.9726595521,88154.3916096001
6327,50504,50423.5173779163,88846.5172032873
6329,68316,68232.8300934169,85426.6795391855
6336,57948,57727.572370806,97319.9739559272
6343,58465,57962.3523099148,82934.0653552663
6345,53880,53780.1879603313,81059.4873654847
6348,45558,45174.4721935342,90542.1632267355
6350,33438,33646.7028170787,71744.1058805876
6354,53985,54165.368707225,74981.721845745
6374,75090,75266.8948508542,83113.1262924451
6377,50831,50826.8158813524,69354.4945477082
6378,34799,34921.4346798661,69077.1698762068
6389,64788,65060.790274822,79984.9112379113
6392,57385,57158.6719358813,71938.9666719852
6395,62129,62152.8038329233,85028.2481056958
6400,51599,51837.6848954561,78168.6140808614
6403,47203,47286.1447674579,98677.2287138667
6406,56601,56733.1592677249,83443.0064585554
6407,66575,67017.3502881329,99059.9265560241
6409,63946,63930.7509198927,91563.8850950573
6416,35228,35261.6666032062,87855.1278757585
6417,46647,46467.7959001808,98416.6185289896
6418,40860,40867.6446298639,89582.6962285877
6428,86298,86232.1236236663,119363.502845162
6433,45090,45257.5462763879,81312.9457680132
6434,44312,44093.8860795307,76717.0217573628
6437,47026,47302.5521077163,76855.6747973485
6440,55006,55133.467418393,85794.3951892606
6445,29881,29905.8832964756,73134.5409911758
6446,86204,86135.5276455487,83336.9627825316
6448,36154,36191.071167177,72155.8349676763
6463,77359,77213.5851654898,86233.3577339548
6469,56327,56274.6159373594,78009.5336283767
6474,54198,53768.7382904613,93402.263524882
6478,51602,51238.9438058875,85734.6874416173
6486,66017,65857.1433063558,74090.0286511026
6492,47818,47893.36269462,83609.9289777751
6498,73657,73945.9138918137,83274.4460611221
6501,61712,61638.9814540238,85306.8645551281
6504,50414,50084.6755020859,74766.2567163476
6516,49351,48990.3141807898,82063.0359470406
6521,49664,49359.4045374494,96316.8667334057
6522,54307,54312.1762636146,88214.6339908895
6523,54028,53810.7227005705,65640.3187073634
6524,33453,33455.488453871,69605.5106938192
6531,54248,54277.5822613394,113394.09764159
6533,48594,48748.8374313589,79415.3958164671
6534,74232,74363.4506019877,106847.71316899
6536,32771,32769.7806354611,77335.410337026
6537,43218,42883.6124656116,78660.2832363591
6546,58634,58658.6460562041,81730.1978744083
6549,63954,64651.9478270893,93420.0300401157
6551,48188,48011.2101781371,102457.920086037
6552,48944,49348.2767378856,71482.576046326
6555,78134,78135.0870316782,99102.7259961097
6558,63166,62731.6625638891,88810.4191455777
6560,55128,54838.56241821,87136.4887621056
6561,63861,64272.3536613525,92426.0547734694
6567,54363,54065.1636754216,87929.8559241762
6573,66793,66318.6807607022,93258.0822294018
6576,51068,51178.327035917,66620.128133417
6584,47246,47387.0794017516,74668.8437085708
6593,47225,47013.964976756,83993.3624793757
6599,59267,59640.1945713083,102422.553461719
6600,33295,33085.6464415445,88951.5388781884
6606,60568,60244.7788822232,88025.8878529255
6608,76676,76768.089734316,93996.4957531102
6612,43146,43155.8971469558,73597.576837037
6621,69764,70218.8289802082,85866.6717059902
6625,48104,48029.0229799366,126855.858723502
6629,67831,67616.0444712722,75229.5721305426
6631,70275,69903.935340212,82637.4742789359
6632,53675,53723.3030754714,82447.4956223414
6633,81816,82004.3661739707,116308.767384325
6635,53977,54002.5645185579,81063.6822448348
6640,33741,33815.8917787537,80773.8562465501
6644,27101,27150.1554323842,70547.2168377482
6650,51899,51995.0834358232,83031.2678959937
6651,48994,49119.2328819256,79549.5253688202
6652,73831,73739.7701455294,95429.9102598503
6659,75189,74631.1812709226,96853.5017303229
6660,65926,65759.397085687,99693.1052760954
6663,97247,97422.8104960369,136037.881661766
6674,56059,55791.7042205497,91246.3688477048
6675,55440,55576.1454258468,86313.0986057624
6681,56698,56498.2044855779,88843.2433450331
6683,37651,37761.6343513126,76027.5152542673
6693,56816,56541.9142165098,84498.5905855157
6695,96382,96312.6499257363,96980.8015859914
6698,58904,59056.0356311269,93673.9645318386
6699,59665,59603.9378560681,78396.7785135766
6702,67781,68049.2442835817,91323.7591285839
6704,35683,35888.3216983511,82578.1397310513
6706,81745,81385.5437734429,104248.91014268
6714,84001,83835.1141337441,86923.0300423453
6720,53304,53589.1364471226,94200.0734093862
6725,85124,85224.0280137716,111726.403661665
6728,66178,66336.6797816248,95893.460086987
6731,65698,65518.9141191663,100962.289990548
6736,63306,63332.2227488392,92891.1684429019
6747,51315,51536.6159061241,88323.8462537929
6749,59304,59139.7363593592,74155.3349569752
6754,66847,66557.9173692165,114785.634043666
6756,49025,48952.9785410726,87297.8255973922
6757,61927,61734.7735711778,87561.445700122
6760,65625,65407.1198027883,82876.8822113733
6762,59957,60201.1968509447,82038.2353349233
6763,66807,67037.6704716268,92104.3680795323
6764,35393,35352.0373718905,87258.5204952008
6773,32033,32058.8445618985,74614.6771175748
6775,45340,45774.8231999007,87546.1836998483
6780,54201,54373.6122476299,85568.0616941425
6783,55646,55990.428374607,116337.90479046
6791,58195,57953.8910813364,105236.938865003
6805,44749,44986.2472578093,83712.6260980116
